Date,AAPL,MSFT,TSLA,GOOG,AMZN
2024-09-11,228.13,423.04,116.91,34.85,207.23
2024-09-12,229.81,427.0,119.14,34.91,206.6
2024-09-13,230.29,430.59,119.1,35.59,204.32
2024-09-16,226.78,431.34,116.78,36.31,207.86
2024-09-17,227.87,435.15,115.59,36.45,209.25
2024-09-18,227.2,430.81,113.37,36.38,207.53
2024-09-19,243.92,438.69,117.87,36.83,210.48
2024-09-20,238.25,435.27,116.0,37.2,211.09
2024-09-23,250.0,433.51,116.26,37.95,211.44
2024-09-24,254.27,429.17,120.87,36.9,211.59
2024-09-25,257.02,432.11,123.51,37.12,210.19
2024-09-26,254.22,431.31,124.04,37.1,209.78
2024-09-27,260.46,428.02,121.4,36.84,210.5
2024-09-30,261.63,430.3,121.44,37.2,210.86
2024-10-01,258.02,420.69,117.0,36.46,207.04
2024-10-02,249.02,417.13,118.85,37.49,207.29
2024-10-03,240.66,416.54,122.85,39.24,205.23
2024-10-04,250.08,416.06,124.92,40.01,211.22
2024-10-07,240.83,409.54,127.72,38.89,210.93
2024-10-08,244.5,414.71,132.89,41.45,210.75
2024-10-09,241.05,417.46,132.65,43.13,213.42
2024-10-10,238.77,415.84,134.81,43.52,212.84
2024-10-11,217.8,416.32,134.8,43.51,222.29
2024-10-14,219.16,419.14,138.07,43.4,221.48
2024-10-15,219.57,418.74,131.6,42.43,222.39
2024-10-16,221.33,416.12,135.72,41.93,223.64
2024-10-17,220.89,416.72,136.93,42.0,224.42
2024-10-18,220.7,418.16,138.0,42.97,225.37
2024-10-21,218.85,418.78,143.71,42.7,223.0
2024-10-22,217.97,427.51,143.59,42.94,224.12
2024-10-23,213.65,424.6,139.56,42.59,223.41
2024-10-24,260.48,424.73,140.41,43.56,224.98
2024-10-25,269.19,428.15,141.54,44.86,222.31
2024-10-28,262.51,426.59,140.52,44.97,225.5
2024-10-29,259.52,431.95,141.25,44.93,222.9
2024-10-30,257.55,432.53,139.335,43.69,224.41
2024-10-31,249.85,406.35,132.76,41.56,221.92
2024-11-01,248.98,410.37,135.4,41.92,222.94
2024-11-04,242.84,408.46,136.05,41.41,219.78
2024-11-05,251.44,411.46,139.91,51.13,221.49
2024-11-06,288.53,420.18,145.61,55.53,247.06
2024-11-07,296.91,425.43,148.88,55.88,236.38
2024-11-08,321.22,422.54,147.63,58.39,236.98
2024-11-11,350.0,418.01,145.26,60.24,239.29
2024-11-12,328.49,423.03,148.29,59.85,239.56
2024-11-13,330.24,425.2,146.27,60.7,241.16
2024-11-14,311.18,426.89,146.76,59.18,241.87
2024-11-15,320.72,415.0,141.98,65.77,245.31
2024-11-18,338.74,415.76,140.15,61.26,245.03
2024-11-19,346.0,417.79,147.01,62.98,243.09
2024-11-20,342.03,415.49,145.89,62.12,240.78
2024-11-21,339.64,412.87,146.67,61.36,244.76
2024-11-22,352.56,417.0,141.95,64.35,248.55
2024-11-25,338.59,418.79,136.02,64.65,250.29
2024-11-26,338.23,427.99,136.92,65.74,249.97
2024-11-27,332.89,422.99,135.34,66.05,249.79
2024-11-29,345.16,423.46,138.25,67.08,249.72
2024-12-02,357.09,430.98,138.63,66.39,246.25
2024-12-03,351.42,431.2,140.26,70.96,244.82
2024-12-04,357.93,437.42,145.14,69.85,243.4
2024-12-05,369.49,442.62,145.06,71.87,245.48
2024-12-06,389.22,443.57,142.44,76.34,247.36
2024-12-09,389.79,446.02,138.81,72.46,243.81
2024-12-10,400.99,443.33,135.07,70.89,242.86
2024-12-11,424.77,448.99,139.31,72.51,243.53
2024-12-12,418.1,449.56,137.34,73.2,241.53
2024-12-13,436.23,447.27,134.25,76.07,239.94
2024-12-16,463.02,451.59,132.0,75.75,239.58
2024-12-17,479.86,454.46,130.39,74.39,238.36
2024-12-18,440.13,437.39,128.91,71.51,230.37
2024-12-19,436.17,437.03,130.68,74.21,232.96
2024-12-20,421.06,436.6,134.7,80.55,237.6
2024-12-23,430.6,435.25,139.67,80.69,238.39
2024-12-24,462.28,439.33,140.22,82.38,242.31
2024-12-26,454.13,438.11,139.93,82.14,243.14
2024-12-27,431.66,430.53,137.01,79.08,241.17
2024-12-30,417.41,424.83,137.49,77.18,239.32
2024-12-31,403.84,421.5,134.29,75.63,239.71
2025-01-02,379.28,418.58,138.31,75.19,240.0
2025-01-03,410.44,423.35,144.47,79.89,243.28
2025-01-06,411.05,427.85,149.43,75.92,240.85
2025-01-07,394.36,422.37,140.14,69.99,243.17
2025-01-08,394.94,424.56,140.11,68.23,243.13
2025-01-10,394.74,418.95,135.91,67.26,239.87
2025-01-13,403.31,417.19,133.23,64.98,244.21
2025-01-14,396.36,415.67,131.76,65.91,247.47
2025-01-15,428.22,426.31,136.24,68.14,252.35
2025-01-16,413.82,424.58,133.57,69.24,254.27
2025-01-17,426.5,429.03,137.71,71.77,259.16
2025-01-21,424.07,428.5,140.83,73.07,263.03
2025-01-22,415.11,446.2,147.07,76.87,262.84
2025-01-23,412.38,446.71,147.22,78.98,265.95
2025-01-24,406.58,444.06,142.62,78.98,264.84
2025-01-27,397.15,434.56,118.42,75.44,265.85
2025-01-28,398.09,447.2,128.99,80.23,267.14
2025-01-29,389.1,442.33,123.7,79.76,266.58
2025-01-30,400.28,414.99,124.65,81.22,268.23
2025-01-31,404.6,415.06,120.07,82.49,267.3
2025-02-03,383.68,410.92,116.66,83.74,266.81
2025-02-04,392.21,412.37,118.65,103.83,267.94
2025-02-05,378.17,413.29,124.83,101.36,270.43
2025-02-06,374.32,415.82,128.68,111.28,276.9
2025-02-07,361.62,409.75,129.84,110.85,275.8
2025-02-10,350.73,412.22,133.57,116.65,271.04
2025-02-11,328.5,411.44,132.8,112.62,274.99
2025-02-12,336.51,409.04,131.14,117.39,275.45
2025-02-13,355.94,410.54,135.29,117.91,276.32
2025-02-14,355.84,408.43,138.85,119.16,276.59
2025-02-18,354.11,409.64,139.4,124.62,279.95
2025-02-19,360.56,414.77,139.23,112.06,279.25
2025-02-20,354.4,416.13,140.11,106.27,266.8
2025-02-21,337.8,408.21,134.43,101.35,264.24
2025-02-24,330.53,404.0,130.28,90.68,261.34
2025-02-25,302.8,397.9,126.63,87.84,257.4
2025-02-26,290.8,399.73,131.28,89.31,258.79
2025-02-27,281.95,392.53,120.15,84.77,259.05
2025-02-28,292.98,396.99,124.92,84.92,264.65
2025-03-03,284.65,388.49,114.06,83.42,260.62
2025-03-04,272.04,388.61,115.99,84.4,250.25
2025-03-05,279.1,401.02,117.3,90.13,251.53
2025-03-06,263.45,396.89,110.57,80.46,246.54
2025-03-07,262.67,393.31,112.69,84.91,242.28
2025-03-10,222.15,380.16,106.98,76.38,232.22
